Training Levels:,Resources/level/trainlevels/lvl-1,,
Gen Num , Highest Fitness, Average Fitness, Population Size: 120
364,70.454445,12.629536,0
365,70.454445,13.887697,0
366,70.454445,11.598615,0
367,70.454445,8.569842,0
368,70.454445,11.565048,0
369,70.454445,10.292434,0
370,70.454445,8.427858,0
371,70.454445,11.199929,0
372,70.454445,14.746798,0
373,70.454445,11.697298,0
374,70.454445,12.074781,0
375,70.454445,13.05348,0
376,70.454445,11.908016,0
377,70.454445,13.629191,0
378,70.454445,12.656198,0
379,70.454445,15.256868,0
380,70.454445,15.017795,0
381,70.454445,11.022032,0
382,70.454445,11.099063,0
383,70.454445,10.999038,0
384,70.454445,14.366725,0
385,70.454445,12.051166,0
386,70.454445,11.216825,0
387,70.454445,13.310658,0
388,70.454445,12.819793,0
389,70.454445,13.498181,0
390,70.454445,12.831876,0
391,70.454445,11.814631,0
392,70.454445,11.036014,0
393,70.454445,10.343842,0
394,70.454445,6.292434,0
395,70.454445,11.73245,0
396,70.454445,14.88366,0
397,70.454445,13.522959,0
398,70.454445,11.659002,0
399,70.454445,12.743649,0
400,70.454445,10.855997,0
401,70.454445,13.970895,0
402,70.454445,11.771832,0
403,70.454445,14.932366,0
404,70.454445,10.191651,0
405,70.454445,11.491519,0
406,70.454445,11.673223,0
407,70.454445,10.085693,0
408,70.454445,10.490972,0
409,70.454445,13.119027,0
410,70.454445,13.530391,0
411,70.454445,19.093061,0
412,70.454445,12.352996,0
413,70.454445,11.544553,0
414,70.454445,10.752491,0
415,70.454445,13.159255,0
416,70.454445,8.825315,0
417,70.454445,6.169152,0
418,70.454445,13.139101,0
419,70.454445,13.380764,0
420,70.454445,13.284903,0
421,70.454445,12.468734,0
422,70.454445,14.072518,0
423,70.454445,16.431135,0
424,70.454445,13.94455,0
425,70.454445,14.661954,0
426,70.454445,11.956157,0
427,70.454445,15.638986,0
428,70.454445,16.075052,0
429,70.454445,15.47927,0
430,70.454445,12.65251,0
431,70.454445,12.301097,0
432,70.454445,10.75391,0
433,70.454445,12.041226,0
434,70.454445,12.85083,0
435,70.454445,12.862191,0
436,70.454445,14.776031,0
437,70.454445,11.564437,0
438,70.454445,12.913416,0
439,70.454445,11.073079,0
440,70.454445,12.155068,0
441,70.454445,15.285864,0
442,70.454445,16.814381,0
443,70.454445,12.689747,0
444,70.454445,11.612327,0
445,70.454445,14.928572,0
446,70.454445,13.831526,0
447,70.454445,12.838179,0
448,70.454445,14.706336,0
449,70.454445,14.197831,0
450,70.454445,13.307898,0
451,70.454445,11.936268,0
452,70.454445,12.20166,0
453,70.454445,11.078899,0
454,70.454445,10.62022,0
455,70.454445,10.548555,0
456,70.454445,11.185334,0
457,70.454445,13.650136,0
458,70.454445,12.498231,0
459,70.454445,11.685217,0
460,70.454445,9.630827,0
461,70.454445,11.75521,0
462,70.454445,13.246038,0
463,70.454445,12.687005,0
464,70.454445,12.203944,0
465,70.454445,11.160897,0
466,70.454445,11.868193,0
467,70.454445,11.101768,0
468,70.454445,15.343743,0
469,70.454445,16.690172,0
470,70.454445,14.672511,0
471,70.454445,9.840561,0
472,70.454445,10.135867,0
473,70.454445,9.539598,0
474,70.454445,13.558821,0
475,70.454445,10.48582,0
476,70.454445,12.453828,0
477,70.454445,10.359156,0
478,70.454445,12.612226,0
479,70.454445,9.071913,0
480,70.454445,10.717599,0
481,70.454445,12.364145,0
482,70.454445,13.843006,0
483,70.454445,11.138575,0
484,70.454445,9.242214,0
485,70.454445,12.694074,0
486,70.454445,10.817328,0
