Training Levels:,Resources/level/trainlevels/lvl-4,
Gen Num , Highest Fitness, Average Fitness, Population Size: 100
274 , 65.908707 , 32.519955 , 0
275 , 65.908707 , 28.894049 , 0
276 , 65.908707 , 31.725914 , 0
277 , 65.908707 , 28.501907 , 0
278 , 65.908905 , 27.347666 , 0
279 , 65.908905 , 30.319330 , 0
280 , 65.908089 , 32.450043 , 0
281 , 65.908829 , 25.254448 , 0
282 , 65.908829 , 21.770370 , 0
283 , 65.908905 , 29.312284 , 0
284 , 65.908905 , 30.048094 , 0
285 , 65.908905 , 30.075005 , 0
286 , 65.908905 , 26.591724 , 0
287 , 65.907997 , 32.443085 , 0
288 , 65.908829 , 29.067993 , 0
289 , 65.908829 , 28.887850 , 0
290 , 65.908829 , 24.950571 , 0
291 , 65.908829 , 25.727180 , 0
292 , 65.908829 , 22.878307 , 0
293 , 65.908829 , 29.058203 , 0
294 , 65.908829 , 30.330513 , 0
295 , 65.908829 , 26.021597 , 0
296 , 65.908829 , 24.090588 , 0
297 , 65.908829 , 27.191423 , 0
298 , 65.908829 , 24.567678 , 0
299 , 65.908829 , 27.127083 , 0
300 , 65.908829 , 26.299267 , 0
301 , 65.908829 , 28.790237 , 0
302 , 65.908829 , 27.135487 , 0
303 , 65.908829 , 25.806091 , 0
304 , 65.908829 , 22.247208 , 0
305 , 65.908829 , 23.139175 , 0
306 , 65.908829 , 29.719446 , 0
307 , 65.908829 , 29.212620 , 0
308 , 65.908829 , 28.407219 , 0
309 , 65.908829 , 22.268143 , 0
310 , 65.908829 , 27.455505 , 0
311 , 65.908829 , 29.118557 , 0
312 , 65.908829 , 26.776831 , 0
313 , 65.908829 , 29.764311 , 0
314 , 65.908829 , 26.063347 , 0
315 , 65.908829 , 25.803967 , 0
316 , 65.908829 , 29.094551 , 0
317 , 65.908829 , 25.064619 , 0
318 , 65.908829 , 30.016176 , 0
319 , 65.908829 , 24.408089 , 0
320 , 65.908829 , 28.269014 , 0
321 , 65.908936 , 25.590277 , 0
322 , 65.908936 , 24.121279 , 0
323 , 65.908936 , 30.379221 , 0
324 , 65.908936 , 28.982222 , 0
325 , 65.908936 , 28.520636 , 0
326 , 65.908936 , 27.293945 , 0
327 , 65.908936 , 28.122381 , 0
328 , 65.908936 , 29.512817 , 0
329 , 65.908936 , 28.005318 , 0
330 , 65.908936 , 23.679165 , 0
331 , 65.908936 , 28.898369 , 0
332 , 88.635460 , 31.793510 , 0
333 , 88.636269 , 31.686043 , 0
334 , 88.636269 , 33.981319 , 0
335 , 88.636269 , 27.202881 , 0
336 , 88.636269 , 36.313324 , 0
337 , 88.636269 , 35.141499 , 0
338 , 88.636269 , 27.830328 , 0
339 , 88.636269 , 32.584446 , 0
340 , 88.636269 , 31.963711 , 0
341 , 88.636269 , 27.667620 , 0
342 , 88.636269 , 31.611937 , 0
343 , 88.636269 , 36.929596 , 0
344 , 88.636269 , 36.876942 , 0
345 , 88.636269 , 37.644127 , 0
346 , 88.636269 , 34.869862 , 0
347 , 88.636276 , 37.146729 , 0
348 , 88.636276 , 37.060726 , 0
349 , 88.636276 , 30.800850 , 0
350 , 88.636276 , 30.732824 , 0
351 , 88.636276 , 31.073736 , 0
352 , 88.636276 , 30.481247 , 0
353 , 88.636276 , 26.540125 , 0
354 , 88.636276 , 32.571445 , 0
355 , 88.636276 , 25.978937 , 0
356 , 88.636276 , 27.976858 , 0
357 , 88.636276 , 27.618216 , 0
358 , 88.636276 , 29.837177 , 0
359 , 88.636276 , 33.427208 , 0
360 , 88.636276 , 26.878355 , 0
361 , 88.636276 , 30.465151 , 0
362 , 88.636276 , 33.719837 , 0
363 , 88.636276 , 32.238194 , 0
364 , 88.636276 , 30.224602 , 0
365 , 88.636276 , 32.429962 , 0
366 , 88.636276 , 31.769920 , 0
367 , 88.636276 , 28.606365 , 0
368 , 88.636276 , 28.854559 , 0
369 , 88.636276 , 27.078930 , 0
370 , 88.636276 , 25.959932 , 0
371 , 88.636276 , 29.944763 , 0
372 , 88.636276 , 33.169682 , 0
373 , 88.636276 , 29.877918 , 0
374 , 88.636276 , 27.853016 , 0
375 , 88.636276 , 21.599985 , 0
376 , 88.636276 , 32.165051 , 0
377 , 88.636276 , 31.720139 , 0
378 , 88.636276 , 24.999187 , 0
379 , 88.636276 , 34.371510 , 0
380 , 88.636276 , 30.290442 , 0
381 , 88.636276 , 25.899412 , 0
382 , 88.636276 , 32.127060 , 0
383 , 88.636276 , 32.363743 , 0
384 , 88.636276 , 27.094055 , 0
385 , 88.636276 , 26.568415 , 0
386 , 88.636276 , 24.749920 , 0
387 , 88.636276 , 30.198713 , 0
388 , 88.636276 , 23.562037 , 0
389 , 88.636276 , 38.973541 , 0
390 , 88.636276 , 32.523849 , 0
391 , 88.636276 , 28.455711 , 0
392 , 88.636276 , 27.778076 , 0
393 , 88.636276 , 26.509462 , 0
394 , 88.636276 , 30.169643 , 0
395 , 88.636276 , 27.266836 , 0
396 , 88.636276 , 30.683815 , 0
397 , 88.636276 , 25.882410 , 0
398 , 88.636276 , 27.479876 , 0
399 , 88.636276 , 24.463839 , 0
400 , 88.636276 , 31.193676 , 0
401 , 88.636276 , 31.370380 , 0
402 , 88.636276 , 28.499971 , 0
403 , 88.636276 , 30.951605 , 0
404 , 88.636276 , 31.049969 , 0
405 , 88.636276 , 31.350893 , 0
406 , 88.636276 , 28.256550 , 0
407 , 88.636276 , 34.068851 , 0
408 , 88.636276 , 28.129894 , 0
409 , 88.636276 , 27.482145 , 0
410 , 88.636276 , 35.879673 , 0
411 , 88.622162 , 24.958162 , 0
412 , 88.636276 , 31.219765 , 0
413 , 88.636276 , 30.954735 , 0
414 , 88.636276 , 25.053738 , 0
415 , 88.636276 , 25.264198 , 0
416 , 88.636276 , 31.218695 , 0
417 , 88.636276 , 33.641319 , 0
418 , 88.636276 , 29.634781 , 0
419 , 88.636276 , 27.542570 , 0
420 , 88.636276 , 28.338919 , 0
421 , 88.636276 , 30.245003 , 0
422 , 88.636276 , 27.054567 , 0
423 , 88.636276 , 31.183456 , 0
424 , 88.636276 , 31.063696 , 0
425 , 88.636276 , 29.310484 , 0
426 , 88.636276 , 27.760204 , 0
427 , 88.636276 , 34.077114 , 0
428 , 88.636276 , 32.021862 , 0
429 , 88.636276 , 28.960548 , 0
430 , 88.636276 , 29.148447 , 0
431 , 88.636276 , 25.185181 , 0
